,Date / Time,City,State,Shape
120,3/14/97 21:00,Los Angeles,CA,Triangle
121,3/14/97 20:00,Tonopah,AZ,Sphere
122,3/14/97 19:00,Sahuarita,AZ,Triangle
123,3/14/97 01:35,Dunnellon,FL,Light
124,3/14/97 01:10,Tucson (southwest of town),AZ,Disk
125,3/13/97 00:00,Scottsdale,AZ,Triangle
126,3/13/97 23:00,Fresno,CA,Formation
127,3/13/97 22:00,Glendale,AZ,Fireball
128,3/13/97 22:00,Dateland,AZ,Circle
129,3/13/97 22:00,Phoenix,AZ,Other
130,3/13/97 22:00,Casa Grande,AZ,Formation
131,3/13/97 22:00,Tucson,AZ,Light
132,3/13/97 21:30,Sciotoville,OH,Formation
133,3/13/97 21:30,Monterey,CA,Sphere
134,3/13/97 21:15,Phoenix,AZ,Rectangle
135,3/13/97 21:00,Prescott,AZ,Formation
136,3/13/97 21:00,Phoenix,AZ,Triangle
137,3/13/97 21:00,Phoenix,AZ,Diamond
138,3/13/97 21:00,Henderson,NV,Formation
139,3/13/97 21:00,Phoenix (north of),AZ,Chevron
140,3/13/97 21:00,Phoenix,AZ,Other
141,3/13/97 20:45,Phoenix,AZ,Triangle
142,3/13/97 20:45,Peoria,AZ,Chevron
143,3/13/97 20:40,Phoenix,AZ,Formation
144,3/13/97 20:40,Mesa (at Mesa Community College),AZ,Triangle
145,3/13/97 20:35,Libby,MT,Light
146,3/13/97 20:35,Tucson,AZ,Chevron
147,3/13/97 20:30,Chino Valley,AZ,Formation
148,3/13/97 20:30,Phoenix,AZ,Triangle
149,3/13/97 20:30,"Gila Bend (G.B.AUXILLARY FIELD, )",AZ,Chevron
150,3/13/97 20:30,Chandler (app. 20 miles E/SE of Phoenix),AZ,Triangle
151,3/13/97 20:30,Mt. Springs (Cooke County),TX,Other
152,3/13/97 20:30,Phoenix,AZ,Formation
153,3/13/97 20:30,Cass City,MI,Triangle
154,3/13/97 20:30,Phoenix,AZ,Chevron
